,pairs,binned,story_A,story_B,story_A_summary,story_B_summary,Empathic Similarity (gpt3.5),Empathic Similarity Binned (gpt3.5),Empathic Similarity Reasons (gpt3.5),similarity_empathy_human_AGG,similarity_event_human_AGG,similarity_emotion_human_AGG,similarity_moral_human_AGG
81,"(53, 65)","(0.544, 0.684]","Today my family gathered in a small town. It has been years since we have all been in the same place at the same time. Usually seeing long lost relatives is a joyous occasion for most families. We aren't most families. Usually, we don't all get along. <br><br>Today wasn't usual. Today we gathered to pay our respect to one of the most complicated men most of us have ever known. Today, we all supported each other and consoled one another in the name of my Dad. <br><br>My dad passed away a week ago and today was his memorial. This has been a difficult week. Trying to grasp the fact that he is gone has been tough, but today was the worst. We had an open casket. He looked so strange, it was him and yet not him <br><br>I watched as some of my family broke down into tears, some quietly. Others held it in. I felt I had to be strong for my own little family. My children will never again get to see their grandpa. I will never again get to see my dad, yet as a dad, I couldn't let me kids watch me break down completely. <br><br>After today, all that will be left him is his belongings and his ashes.","My dad is not the greatest, but he's not terrible either. When I was little, we were practically joined at the hip. I was spoiled, but I knew my daddy loved me and was so proud of me. As I got older things changed. We fought so much. I started self harm pretty early. Only into my twenties did I get the help to understand that my dad is really mentally ill and that I am too, but that I can be stable with help from therapy and have an ok relationship with dad even though he won't accept help. <br><br>Now the one thing dad and I both love (besides nature and animals) is horror films. He's picky, only really digs the classics he grew up on. He never ever wants to watch any horror films with me. He says his scary movie days are over. <br><br>Well I was talking with him about how I recently watched the blob for the first time, and how I was able to watch the night of the living dead on this new streaming service. We jabbered about freaks and jaws and some other flicks. He saw Godzilla was available and told me a hilarious story about my uncle and him sneaking into the balcony at the movies and uncle knocked his soda off the balcony when Godzilla finally showed up. <br><br>We laughed about dad sneaking uncle and their remaining soda back down into the lower section just as the dude covered in soda alerted the staff. I said I've never seen any Godzilla flicks and today, we're gonna watch the original together. Complete with popcorn and soda!","
The author's family gathered in a small town to pay respects to their father who passed away a week ago. Despite not always getting along, they came together to console one another during this difficult time. The author watched as family members grieved and felt the need to stay strong for their own children, knowing that all that will be left of their father is his belongings and ashes.","
The author had a difficult relationship with her mentally ill father and struggled with self-harm. However, they both share a love for horror films. Although the father initially stated he no longer wants to watch scary movies, they both decide to watch the original Godzilla film together, which leads to a heartwarming moment.",1,0.0," The two stories are completely unrelated in terms of themes, experiences, and emotions. There is no common ground for the narrators to empathize with each other.",2.5,1.0,1.0,1.0
82,"(55, 62)","(0.501, 0.544]","Today I lost my job. It really sucks because it's a job I held for 5 years and loved doing. I'm going to miss everyone I work with. <br><br>This is going to be a very hard time to pick myself up and get back into the swing of things. I just hope I can stay close to the friends I made there. <br><br>I understand why they had to let me go. Companies change and have to make big decisions. Unfortunately, that resulted in me losing my job. We were over head count. They had to let someone go. I was the one that got picked. It makes sense, but still sucks. <br><br>I won't let it get to me too much. It's upsetting but I'll do all I can to get back on my feet. Going to start looking for a new job soon.","I love Grieg's Piano Concerto, but there's one particular recording that I first came to know the piece by. My high school friend gave it to me on CD format back in the late 90s, and then life took us in different directions and we never saw each other again. But I would play that piece in the car when I had to drive a long way. The CD accompanied me across three continents and through three academic higher degrees. <br><br>Sadly, I lost it in a move and I'd never been able to find it again through the decades. There were many different performances, but none had the precise rhythm and phrasing and interpretation and feeling of the one I grew up with. <br><br>Finally, I was driving down the highway a few days back and I heard the exact performance being played on the local classical station. I pulled over to the shoulder safely and got my phone out, so I could look up the station's playlist. I finally found the performer, orchestra, and year.","
The author lost their job of 5 years and is sad to leave behind their coworkers. They understand the company's decision to let them go due to overstaffing, but it still sucks. They plan to move on and find a new job soon.","
The author had a special recording of Grieg's Piano Concerto given to them by a high school friend, which they played frequently while driving on long trips. They lost the CD during a move and were unable to find the same recording again despite searching for decades. While driving recently, they heard the exact performance being played on a classical radio station and were able to identify the performer, orchestra, and year.",1,0.0, The two stories are not related and do not share any experiences or emotions that could lead to empathy.,1.5,1.0,3.0,2.0
83,"(55, 66)","(0.501, 0.544]","Today I lost my job. It really sucks because it's a job I held for 5 years and loved doing. I'm going to miss everyone I work with. <br><br>This is going to be a very hard time to pick myself up and get back into the swing of things. I just hope I can stay close to the friends I made there. <br><br>I understand why they had to let me go. Companies change and have to make big decisions. Unfortunately, that resulted in me losing my job. We were over head count. They had to let someone go. I was the one that got picked. It makes sense, but still sucks. <br><br>I won't let it get to me too much. It's upsetting but I'll do all I can to get back on my feet. Going to start looking for a new job soon.","Today was the last of my 3 root canal appointments. When I went into the office on that first appointment, I was crying and shaking and just wanted to run away. I felt nothing though, the tooth was already dead and the local anesthesia she gave me was amazing. So I gained some confidence. <br><br>The second appointment I was still nervous, but not crying anymore. Today was the third one and I went there smiling. Right now I feel some pressure from the root canal filling but apart from that I feel great. Proud, mostly. <br><br>Even when I was left alone in that room with all the spooky instruments, I wasn't scared or even nervous. And after my appointment I went and bought some groceries. My past self would've went home and wouldn't have left the bed, trying to cope with the intense anxiety that had built up within me. <br><br>But not today. And I already made some new appointments for next year to fix the rest of my dental problems. I'm kinda excited about them. I never had super pretty teeth before, so I'm excited to see how my smile will look when it's all done. <br><br>All because of my amazing dentist who is so calm and just such a warm, caring person.","
The author lost their job of 5 years and is sad to leave behind their coworkers. They understand the company's decision to let them go due to overstaffing, but it still sucks. They plan to move on and find a new job soon.","The author overcame their fear of root canals after feeling no pain during their first appointment and gaining confidence. By their third appointment, they felt proud and confident, even buying groceries afterwards. They credit their amazing dentist for their positive experience and are excited to fix the rest of their dental problems in the future.",1,0.0, The two stories are completely unrelated and there is no overlap in emotional experiences between the two narrators.,2.5,1.5,1.5,2.5
84,"(58, 60)","(0.544, 0.684]","My aunt called me a few weeks ago and wanted me to go with her on a road trip. It was kind of unexpected, but I haven't seen her much in the last few years so I was excited. We were headed to a wedding about 6 hours away. I didn't really know the guy getting married, but I had met his mom a few times. <br><br>On the way to the wedding, we stopped to visit several relatives. Again, people I hadn't seen in years. It was so fun to catch up with all my cousins! We had a blast at the wedding, or rather, the wedding reception and dance! Now that was a good time. Everyone was out on the dance floor and most of them were very good dancers. My aunt and I didn't participate in that, but it sure was fun watching everybody out there. The food was good too! <br><br>After the dance, we headed back to another friend's house to spend the night. I had met him a few times before, and we spent a couple of enjoyable days with him. We spent a few more days visiting with more friends and relatives before we headed back. <br><br>I absolutely had a blast. We talked all the way there and back which was about a 12 hour round trip. This is my favorite aunt of all time, and I'm so glad she asked me to go with her. She is over 70 now, and doesn't get around as well as she used to, so I soaked in every moment of our time together. <br><br>I only wish it could've lasted longer, but unfortunately, I had to get back to work. I hope we get the opportunity to do another road trip together!","I'm currently a freshman in college (but I live at home) and I plan to move out next year either to a dorm or my own apartment. When I do so I'm really excited to start celebrating holidays like Christmas, Halloween, and my birthday! <br><br>I was never allowed at home. I loved them so I had to listen to holiday music in secret or watch YouTube videos to feel somewhat ""included"", like with people dressing up on Halloween or opening Christmas or birthday presents. <br><br>I've also always dreamed of having a Christmas tree (idk why, it just looks so nice!)I've also never been allowed to celebrate my birthday and I've always wanted to! Friends and family, cake, gifts, celebrating being a year older looks really fun. <br><br>Anyways I'm just excited to start doing that in my life when I move out.",The narrator's aunt invited them on a road trip to a wedding six hours away. They stopped to visit relatives and had a great time catching up with everyone. The narrator had a blast spending time with their aunt and hopes to go on another road trip with her in the future.,"
The author is a college freshman who plans to move out next year and is excited to celebrate holidays like Christmas, Halloween, and their birthday. They were never allowed to celebrate at home, so they had to watch YouTube videos or listen to holiday music in secret. They dream of having a Christmas tree and celebrating their birthday with friends and family.",1,0.0," the two stories have completely different topics and emotions, making it difficult for the narrators to empathize with each other.",3.0,2.0,2.0,3.0
85,"(58, 61)","(0.501, 0.544]","My aunt called me a few weeks ago and wanted me to go with her on a road trip. It was kind of unexpected, but I haven't seen her much in the last few years so I was excited. We were headed to a wedding about 6 hours away. I didn't really know the guy getting married, but I had met his mom a few times. <br><br>On the way to the wedding, we stopped to visit several relatives. Again, people I hadn't seen in years. It was so fun to catch up with all my cousins! We had a blast at the wedding, or rather, the wedding reception and dance! Now that was a good time. Everyone was out on the dance floor and most of them were very good dancers. My aunt and I didn't participate in that, but it sure was fun watching everybody out there. The food was good too! <br><br>After the dance, we headed back to another friend's house to spend the night. I had met him a few times before, and we spent a couple of enjoyable days with him. We spent a few more days visiting with more friends and relatives before we headed back. <br><br>I absolutely had a blast. We talked all the way there and back which was about a 12 hour round trip. This is my favorite aunt of all time, and I'm so glad she asked me to go with her. She is over 70 now, and doesn't get around as well as she used to, so I soaked in every moment of our time together. <br><br>I only wish it could've lasted longer, but unfortunately, I had to get back to work. I hope we get the opportunity to do another road trip together!","In 10th grade I took a cooking course and for a big project we had to cook an appetizer, a meal, and a dessert at home and serve it to our family and take pictures of the food. I made garlic bread, spaghetti, and red velvet cake. I had never made cake before but I wanted to try and I thought I might as well. <br><br>I took a huge piece to school the next day. I told my teacher I made a cake for the dessert portion and offered her to try it, she said ""well I'm not gonna turn down free cake"" so I went to my locker to grab it. She tried it and said it was pretty good but it was a little too soft, which it was just because I had one of those weird funnel cake pans instead of flat ones. <br><br>I think she ended up giving me an extra 5% on my final grade for giving her some cake. I've had a lot of bad experiences with teachers but I still think about that once in a while. <br><br>I made the same recipe yesterday and did 3 layers with homemade cream cheese frosting, I think it's the best one I've made yet.",The narrator's aunt invited them on a road trip to a wedding six hours away. They stopped to visit relatives and had a great time catching up with everyone. The narrator had a blast spending time with their aunt and hopes to go on another road trip with her in the future.,"
The writer made garlic bread, spaghetti, and red velvet cake for a cooking project in 10th grade. They had never made cake before but decided to try it. The teacher tried the cake and gave the writer an extra 5% on their final grade, and the writer recently made the cake again with homemade cream cheese frosting.",1,0.0, There are no similarities between the two stories that would lead the narrators to empathize with each other.,2.0,1.5,2.0,2.0
86,"(59, 69)","(0.544, 0.684]","A moment that will stay with me forever was the day I finally met my long lost sister. We were separated at a very young age and I never really knew much about them. I used to ask my parents what was she like and if they knew how and what she was doing. Hearing them talk about her just made me so eager and excited to one day hopefully actually meet her. <br><br>So one day I decided to go ahead and do some digging to try and find her and see if we could speak. Sadly I came up with no results and that was kind of heartbreaking at the time because I just felt that if I couldn't find her then, I would never actually meet up with her. So I felt gutted for that but in a turn of events, I was sent a message from someone she knew. <br><br>I instantly replied and we got something set up. My sister and I had a conversation and it was so amazing for me because I always had so many questions. She answered every question I had and she definitely had questions for me. I was more than happy to answer any and everything she wanted to know about me, because that's my sister. <br><br>So for me this was a great timethough we ended up planning a face to face meeting and we met at the airport. We embraced and had a big long hug and we both cried actually. I was literally shaking because I thought I would never actually see my sister ever and make memories with her while we were older. <br><br>This was a moment for me that I plan on never forgetting until the day I'm no longer around.","I was in South Florida and I was trying to figure out, do I take the path that a lot of my fellow Columbia immigrants at the time took? Maybe stayed home with parents, go to community college and kind of hang around the Colombian-American community. Or I had the choice to explore and see something totally different. <br><br>So I got into college and I didn't know really what I wanted to do. The journey became what thing can I put my heart and soul into for the next 30 years. I went scuba diving in Australia. <br><br>Talking to the captain of the ship, he said, ""I was in a landlocked country in Eastern Europe, and I saw the ocean for the first time, and I was completely sold."" The ocean was that thing that called him that he loved to do and knew that he wanted to do for the rest of my life. And I was like, I need to find that, I need to find my ocean. <br><br>For me, business started becoming that. Looking backwards I had started eight businesses before I got to college. So at Emplify, our goal, our vision is to help improve the lives of 1 million people through more meaningful work. <br><br>Our data will show them how this team is sick in terms of engagement and really their heart and mind not being into their work. And then, we show them something, they do something about it, leadership changes something, and then the work lives of employees are better.","The author always wanted to meet their long lost sister and finally found her after some digging. They had an amazing conversation and planned a face to face meeting at the airport. They embraced and both cried, making memories they will never forget.","
The author had to decide between following the usual path of fellow Colombian immigrants or exploring something different. He found his passion for business and started eight businesses before starting Emplify, a company that helps improve the lives of one million people through more meaningful work. Emplify uses data to improve employee engagement and leadership to ultimately make work lives better.",1,0.0, The two stories are completely unrelated and have different themes.,1.5,1.0,1.0,1.0
87,"(6, 18)","(0.544, 0.684]","I didn't know what I wanted to do, and I was admitted into a few different university courses and chose law at Monash because my sister's boyfriend was doing law at Monash, and I thought it'd be nice to know someone. <br><br>And I actually wanted to be a management consultant or an artist, so I did an economics degree to give the management consultant thing a bit of a chance. <br><br>And then, right at the end, someone said I should be a barrister, so I said, ""Oh, okay, I'll be a barrister,'' which I really didn't know what it meant, but I had a vague idea. <br><br>But it was all unplanned, and I think the trick is if your mind is prepared, opportunities will tap you on the shoulder, and you'll recognize the right one when it happens. <br><br>If you stand back waiting for the right thing to come along, you'll go to your grave idle.",I've never loved college more after changing majors. My friends are always so fun and supportive but academics in my old major always made me want to scream but in my new major everything just feels right and like it all fell in place. <br><br>I have truly found paradise.,"
The author was unsure of what they wanted to do and ended up choosing to study law at Monash because their sister's boyfriend was doing it there. They actually wanted to be a management consultant or artist, but ended up becoming a barrister because someone suggested it. The author believes that being prepared and recognizing opportunities is key, rather than waiting for the perfect thing to come along.","
The author changed their major in college and now loves it more than ever. Their friends are supportive and everything feels like it fell into place. They feel like they've found paradise.",2,0.0," While both stories deal with making important life decisions, the underlying emotions and experiences are not similar enough for the narrators to empathize with each other.",2.0,2.0,1.5,2.5
88,"(6, 40)","(0.544, 0.684]","I didn't know what I wanted to do, and I was admitted into a few different university courses and chose law at Monash because my sister's boyfriend was doing law at Monash, and I thought it'd be nice to know someone. <br><br>And I actually wanted to be a management consultant or an artist, so I did an economics degree to give the management consultant thing a bit of a chance. <br><br>And then, right at the end, someone said I should be a barrister, so I said, ""Oh, okay, I'll be a barrister,'' which I really didn't know what it meant, but I had a vague idea. <br><br>But it was all unplanned, and I think the trick is if your mind is prepared, opportunities will tap you on the shoulder, and you'll recognize the right one when it happens. <br><br>If you stand back waiting for the right thing to come along, you'll go to your grave idle.","I did an arts commerce degree at Melbourne Uni, but the reason I did commerce was because my parents wanted me to. I had no interest in it whatsoever. And I actually managed to get the degree and I passed over five years, but I spent the entire time there just doing theater. <br><br>And then I made a very clear decision to leave Australia to go overseas and continue studying being an actor. <br><br>One thing I have learned in my life is that the best thing you can do is make decisions. Actually, it's the only thing you can do, is make decisions. And when you vacillate and you don't make them, nothing is ever clear. <br><br>Being an actor, this is what you learn an enormous amount. All the time, you learn, ""Trust your instincts.''","
The author was unsure of what they wanted to do and ended up choosing to study law at Monash because their sister's boyfriend was doing it there. They actually wanted to be a management consultant or artist, but ended up becoming a barrister because someone suggested it. The author believes that being prepared and recognizing opportunities is key, rather than waiting for the perfect thing to come along.","
The narrator did a commerce degree at Melbourne Uni to please their parents, but had no interest in it and spent the entire time doing theatre. They then made a decision to leave Australia and continue studying acting overseas. The narrator believes that making decisions is important and that being an actor teaches you to trust your instincts.",2,0.0," while both stories involve making choices and pursuing careers, the authors' perspectives and experiences are too different to make them empathetically similar.",3.5,2.5,3.5,3.5
89,"(6, 73)","(0.544, 0.684]","I didn't know what I wanted to do, and I was admitted into a few different university courses and chose law at Monash because my sister's boyfriend was doing law at Monash, and I thought it'd be nice to know someone. <br><br>And I actually wanted to be a management consultant or an artist, so I did an economics degree to give the management consultant thing a bit of a chance. <br><br>And then, right at the end, someone said I should be a barrister, so I said, ""Oh, okay, I'll be a barrister,'' which I really didn't know what it meant, but I had a vague idea. <br><br>But it was all unplanned, and I think the trick is if your mind is prepared, opportunities will tap you on the shoulder, and you'll recognize the right one when it happens. <br><br>If you stand back waiting for the right thing to come along, you'll go to your grave idle.","I was working at a comic shop part-time. At night, after I did my homework, I was doing samples and sending them off to all the comic book companies. I did that for about two or three years. <br><br>After 300 rejections, my phone rings and they went, ""All right, we'll give you a job.'' I was able to sort of jump right out of college and go right into doing comic books. <br><br>Now, it was only ten pages, and it was 60 bucks a page. You don't have to get into the ""A'' spot in the first two years of your life. You don't have to do it.","
The author was unsure of what they wanted to do and ended up choosing to study law at Monash because their sister's boyfriend was doing it there. They actually wanted to be a management consultant or artist, but ended up becoming a barrister because someone suggested it. The author believes that being prepared and recognizing opportunities is key, rather than waiting for the perfect thing to come along.","
A person worked part-time at a comic shop and spent their free time creating comic book samples to send to companies for two to three years. After receiving 300 rejections, they finally received a job offer from a company. The job paid $60 per page, allowing the person to jump into a career in comic books straight out of college.",2,0.0," While both stories discuss the importance of taking action and recognizing opportunities, the specific circumstances and experiences of the narrators are too different to truly empathize with each other.",1.5,1.0,1.0,2.5
90,"(68, 75)","(0.501, 0.544]","Well I just turned 34 last week, and I still don't have a clue what I would do if I didn't snowboard. Snowboarding saved my life. I said whatever it is that I do , I wanna have to train for it. Because I wasn't an academic at all, sports was my main thing. <br><br>Along this whole time, I also had this fascination with surfing, which, being from Vancouver, there was no surfing. Then my best friends came home with two snowboards and I'm like perfect. This is exactly what I wanna do, so that's when I kind of started snowboarding and I got really, really addicted to it. <br><br>And then I sort of started switching over to doing this for a living. It was a big risk, but at the same time, I don't really feel comfortable unless I'm pushing the envelope. My idea is to basically find where your limit is, and then that's your starting point.","I'm a computer game programmer right now. It was not something I expected to do coming out of college. I came out of college with a sociology degree and I was lost, no clue what I needed to do. Luckily for me, the IT industry was just starting to be a thing. What employers know when you have completed four years of college, is that you know how to learn new things. So I just grabbed a textbook, I had some friends that were computer science majors and went at it. <br><br>The nice thing about a video game company is you can take a break, play a video game, and get back to it. Your success is what you've accomplished. They don't really care how long you've been there or whether you took a three hour break one day to play games or whatever. It's all results oriented. <br><br>And you're with some very capable people, so it's a very competitive industry because there's a lot of people willing to do it for free.","
The protagonist turned 34 and still didn't know what he would do without snowboarding. He credits snowboarding with saving his life and states that he wants to have to train for whatever he does. He also mentions his fascination with surfing and how he got addicted to snowboarding, eventually switching to doing it for a living.","
A sociology graduate found a career in computer game programming. With the IT industry just starting out, he simply taught himself by reading a textbook and seeking help from friends. He enjoys the results-oriented nature of the industry and the competitive atmosphere with capable people.",1,0.0, the two stories have completely different topics and experiences. There is no shared emotional resonance between the two narrators.,2.0,2.0,2.5,2.5
91,"(69, 74)","(0.544, 0.684]","I was in South Florida and I was trying to figure out, do I take the path that a lot of my fellow Columbia immigrants at the time took? Maybe stayed home with parents, go to community college and kind of hang around the Colombian-American community. Or I had the choice to explore and see something totally different. <br><br>So I got into college and I didn't know really what I wanted to do. The journey became what thing can I put my heart and soul into for the next 30 years. I went scuba diving in Australia. <br><br>Talking to the captain of the ship, he said, ""I was in a landlocked country in Eastern Europe, and I saw the ocean for the first time, and I was completely sold."" The ocean was that thing that called him that he loved to do and knew that he wanted to do for the rest of my life. And I was like, I need to find that, I need to find my ocean. <br><br>For me, business started becoming that. Looking backwards I had started eight businesses before I got to college. So at Emplify, our goal, our vision is to help improve the lives of 1 million people through more meaningful work. <br><br>Our data will show them how this team is sick in terms of engagement and really their heart and mind not being into their work. And then, we show them something, they do something about it, leadership changes something, and then the work lives of employees are better.","At age 22, I was driving a brand new Porsche and had all the money that anybody could ever want. And I absolutely hated the job. I hated the place. I hated the people I was working with. <br><br>About six months after I quit that job, I was freelancing and trying to build a little business. But I had one month where my total income was $135. It's a good thing my wife had a job because we would have starved. <br><br>Even though we had no money, we had a great time. We managed to do the things we needed to do to have fun. That gives you a certain amount of armor. <br><br>I've never been afraid to take risk, just because I know we can survive the consequences, whatever those are.","
The author had to decide between following the usual path of fellow Colombian immigrants or exploring something different. He found his passion for business and started eight businesses before starting Emplify, a company that helps improve the lives of one million people through more meaningful work. Emplify uses data to improve employee engagement and leadership to ultimately make work lives better.","
The protagonist had a high-paying job he despised, driving a Porsche at just 22. He quit and tried to start his own business but made only $135 in a month. Despite the financial struggles, he and his wife had fun and learned to take risks without fear of consequences.",2,0.0," Although both stories involve entrepreneurship and taking risks, the focus and experiences of the narrators are quite different.",3.0,3.0,3.0,2.5
92,"(69, 75)","(0.544, 0.684]","I was in South Florida and I was trying to figure out, do I take the path that a lot of my fellow Columbia immigrants at the time took? Maybe stayed home with parents, go to community college and kind of hang around the Colombian-American community. Or I had the choice to explore and see something totally different. <br><br>So I got into college and I didn't know really what I wanted to do. The journey became what thing can I put my heart and soul into for the next 30 years. I went scuba diving in Australia. <br><br>Talking to the captain of the ship, he said, ""I was in a landlocked country in Eastern Europe, and I saw the ocean for the first time, and I was completely sold."" The ocean was that thing that called him that he loved to do and knew that he wanted to do for the rest of my life. And I was like, I need to find that, I need to find my ocean. <br><br>For me, business started becoming that. Looking backwards I had started eight businesses before I got to college. So at Emplify, our goal, our vision is to help improve the lives of 1 million people through more meaningful work. <br><br>Our data will show them how this team is sick in terms of engagement and really their heart and mind not being into their work. And then, we show them something, they do something about it, leadership changes something, and then the work lives of employees are better.","I'm a computer game programmer right now. It was not something I expected to do coming out of college. I came out of college with a sociology degree and I was lost, no clue what I needed to do. Luckily for me, the IT industry was just starting to be a thing. What employers know when you have completed four years of college, is that you know how to learn new things. So I just grabbed a textbook, I had some friends that were computer science majors and went at it. <br><br>The nice thing about a video game company is you can take a break, play a video game, and get back to it. Your success is what you've accomplished. They don't really care how long you've been there or whether you took a three hour break one day to play games or whatever. It's all results oriented. <br><br>And you're with some very capable people, so it's a very competitive industry because there's a lot of people willing to do it for free.","
The author had to decide between following the usual path of fellow Colombian immigrants or exploring something different. He found his passion for business and started eight businesses before starting Emplify, a company that helps improve the lives of one million people through more meaningful work. Emplify uses data to improve employee engagement and leadership to ultimately make work lives better.","
A sociology graduate found a career in computer game programming. With the IT industry just starting out, he simply taught himself by reading a textbook and seeking help from friends. He enjoys the results-oriented nature of the industry and the competitive atmosphere with capable people.",3,1.0," While the specific experiences and topics are different, both narrators have followed their passions and pursued a non-traditional path in their careers. They may be able to empathize with each other's drive and determination to succeed.",3.0,1.5,2.5,1.5
93,"(69, 77)","(0.544, 0.684]","I was in South Florida and I was trying to figure out, do I take the path that a lot of my fellow Columbia immigrants at the time took? Maybe stayed home with parents, go to community college and kind of hang around the Colombian-American community. Or I had the choice to explore and see something totally different. <br><br>So I got into college and I didn't know really what I wanted to do. The journey became what thing can I put my heart and soul into for the next 30 years. I went scuba diving in Australia. <br><br>Talking to the captain of the ship, he said, ""I was in a landlocked country in Eastern Europe, and I saw the ocean for the first time, and I was completely sold."" The ocean was that thing that called him that he loved to do and knew that he wanted to do for the rest of my life. And I was like, I need to find that, I need to find my ocean. <br><br>For me, business started becoming that. Looking backwards I had started eight businesses before I got to college. So at Emplify, our goal, our vision is to help improve the lives of 1 million people through more meaningful work. <br><br>Our data will show them how this team is sick in terms of engagement and really their heart and mind not being into their work. And then, we show them something, they do something about it, leadership changes something, and then the work lives of employees are better.","I've got one year left at UCLA, thinking about career choices after I'm graduating and education's always been on my mind. But I have different messages coming from my family, from my friends who are like, is that really the right decision for you? <br><br>My mother was desperate for me to be a dancer. And I actually had a scholarship to the Joffrey Ballet. I didn't take it, much to my mother's chagrin. I actually thought about it. But I realized that was her passion. She can go do it. I don't wanna do it. <br><br>It's good for you to be open to your parents and friends asking you and questioning you. That's a healthy thing. But be clear about what drives you, not what other people want for you to have. <br><br>You've got to have something that gets you up before the alarm gets you up. You gotta have something that makes you stay up that extra hour because it's not a job, it's a passion.","
The author had to decide between following the usual path of fellow Colombian immigrants or exploring something different. He found his passion for business and started eight businesses before starting Emplify, a company that helps improve the lives of one million people through more meaningful work. Emplify uses data to improve employee engagement and leadership to ultimately make work lives better.","
The writer is in their final year at UCLA and is considering career choices after graduation. They have always been interested in education but are receiving conflicting advice from family and friends. The writer reflects on the importance of pursuing what drives them personally, rather than what others want for them.",3,1.0," While the specific experiences and circumstances of the narrators are different, both stories touch on themes of finding one's passion and pursuing it despite external pressure or obstacles. Both narrators could likely empathize with each other's struggle to figure out their career path and the importance of following their individual passions.",3.5,3.0,3.5,3.5
94,"(7, 58)","(0.459, 0.476]","I started working for the Park Service when I was in high school. That turned into 15 years of working for the park service. When the position at Grand Canyon came up I was like, great, awesome opportunity, I'm gonna go for it. Our office here, we have public affairs and communications. We deal with everything from media requests, to filming permits, visitor information, Congressional and legislative affairs, international affairs. We've got this huge scope that we deal with on a day-to-day basis. So no day is the same. There's never a dull day. <br><br>But it was daunting. I remember driving across the country by myself totally freaked out. I haven't worked, I haven't done this job before. I'm going to one of the most recognizable places in the world. I'm going to have to speak on behalf of the park. What did I just get myself into? <br><br>But I don't need to be remembered as the spokesperson of Grand Canyon. As an Asian-American working for the National Park Service, we always wanna make sure that people understand that these are their parks. These are places where anyone can come. It doesn't matter who you are, where you're from, what your background is. It doesn't matter if you're rich or you are poor. <br><br>A park is a public place and it's open to anyone to come and hopefully find some inspiration, and make a connection with, so they can continue to come back to these places.","My aunt called me a few weeks ago and wanted me to go with her on a road trip. It was kind of unexpected, but I haven't seen her much in the last few years so I was excited. We were headed to a wedding about 6 hours away. I didn't really know the guy getting married, but I had met his mom a few times. <br><br>On the way to the wedding, we stopped to visit several relatives. Again, people I hadn't seen in years. It was so fun to catch up with all my cousins! We had a blast at the wedding, or rather, the wedding reception and dance! Now that was a good time. Everyone was out on the dance floor and most of them were very good dancers. My aunt and I didn't participate in that, but it sure was fun watching everybody out there. The food was good too! <br><br>After the dance, we headed back to another friend's house to spend the night. I had met him a few times before, and we spent a couple of enjoyable days with him. We spent a few more days visiting with more friends and relatives before we headed back. <br><br>I absolutely had a blast. We talked all the way there and back which was about a 12 hour round trip. This is my favorite aunt of all time, and I'm so glad she asked me to go with her. She is over 70 now, and doesn't get around as well as she used to, so I soaked in every moment of our time together. <br><br>I only wish it could've lasted longer, but unfortunately, I had to get back to work. I hope we get the opportunity to do another road trip together!","The story is about a person who started working for the Park Service in high school and worked there for 15 years. When the opportunity to work at Grand Canyon came up, they were nervous but excited. They work in public affairs and communications, dealing with a wide range of tasks, and they believe that national parks are for everyone, regardless of their background.",The narrator's aunt invited them on a road trip to a wedding six hours away. They stopped to visit relatives and had a great time catching up with everyone. The narrator had a blast spending time with their aunt and hopes to go on another road trip with her in the future.,1,0.0," the two stories have completely different topics and experiences, making it difficult for the narrators to empathize with each other.",3.0,1.5,1.0,1.0
95,"(70, 74)","(0.544, 0.684]","I thought I had a plan, but things post college, I've learned, rarely go according to plan, and that's okay. When I graduated, it was 2009, the job market was not too hot. I did get a job offer doing satellite operations like Lockheed Martin in Virginia but I was looking for something smaller. And a recruiter came along at some point and told me about this, at the time a pretty small company called Spire, and the rest is history. <br><br>Spire, on a high level, we are a space to ground data and analytics company. We're primarily interested in tracking ships and getting weather data. When I started at Spire, I'll be honest that I was pretty terrified. There were a lot of moments where I felt pretty inadequate, like they made a mistake. But that's something you get over. Fake it until you make it is truly a thing. <br><br>And so even if you're not good at something starting out, if you're impassioned by it, that passion will eventually drive you to a level of skill that would make you more useful than you ever thought you would be.","At age 22, I was driving a brand new Porsche and had all the money that anybody could ever want. And I absolutely hated the job. I hated the place. I hated the people I was working with. <br><br>About six months after I quit that job, I was freelancing and trying to build a little business. But I had one month where my total income was $135. It's a good thing my wife had a job because we would have starved. <br><br>Even though we had no money, we had a great time. We managed to do the things we needed to do to have fun. That gives you a certain amount of armor. <br><br>I've never been afraid to take risk, just because I know we can survive the consequences, whatever those are.","
After graduating in 2009, the narrator struggled to find a job until a recruiter introduced them to Spire, a small space to ground data and analytics company. Despite feeling inadequate at first, the narrator's passion drove them to develop the skills necessary to become a valuable asset to the company. The story emphasizes the importance of being open to unexpected opportunities and persevering through initial feelings of inadequacy.","
The protagonist had a high-paying job he despised, driving a Porsche at just 22. He quit and tried to start his own business but made only $135 in a month. Despite the financial struggles, he and his wife had fun and learned to take risks without fear of consequences.",2,0.0," While both stories involve career struggles and taking risks, the contexts and emotions are different enough that it is unlikely the narrators would fully empathize with each other.",3.0,2.0,2.0,2.0
